,Latitude,Longitude,Stop_Name,Status
0,40.855019,-73.936911,FT WASHINGTON AV/W 187 ST,at stop
1,40.836684,-73.942827,BROADWAY/W 161 ST,at stop
2,40.821957,-73.953826,BROADWAY/W 138 ST,at stop
3,40.865658,-73.931746,MARGARET CORBIN DR/CLOISTERS,at stop
4,40.786858,-73.954438,MADISON AV/E 95 ST,approaching
5,40.812053,-73.961079,BROADWAY/W 122 ST,approaching
6,40.805857,-73.965301,BROADWAY/W 113 ST,approaching
7,40.803101,-73.964176,CATHEDRAL PY/AMSTERDAM AV,approaching
8,40.801974,-73.961543,CATHEDRAL PY/COLUMBUS AV,approaching
9,40.751394,-73.980306,MADISON AV/E 40  ST,approaching
10,40.77134,-73.965746,MADISON AV/E 72 ST,approaching
11,40.746878,-73.984869,MADISON AV/E 32 ST,approaching
12,40.779377,-73.961985,5 AV/EAST 81 ST,approaching
13,40.747072,-73.985331,MADISON AV/E 32 ST,approaching
14,40.809131,-73.962956,BROADWAY/W 120 ST,< 1 stop away
15,40.819659,-73.955527,BROADWAY/W 133 ST,< 1 stop away
16,40.849122,-73.939042,FT WASHINGTON AV/W 177 ST,< 1 stop away
17,40.841474,-73.942544,FT WASHINGTON AV/W 165 ST,< 1 stop away
18,40.758217,-73.975327,MADISON AV/E 52 ST,< 1 stop away
19,40.849238,-73.938978,FT WASHINGTON AV/W 181 ST,< 1 stop away
20,40.770066,-73.968777,5 AV/W 66 ST,< 1 stop away
21,40.848629,-73.93926,FT WASHINGTON AV/W 181 ST,< 1 stop away
