week of year,young proportion,old proportion
1,0.3692376038000205,0.3055813953488372
2,0.36033607981039895,0.32082576827382153
3,0.3925130352243619,0.39764067230399835
4,0.30161836816297327,0.19233603537214444
5,0.3586341118188252,0.28903135266162727
6,0.38625614610161557,0.35873209387381894
7,0.3379144549989895,0.2550149161608888
8,0.36145827278187914,0.2830213208528341
9,0.36764358706283096,0.3058983743297302
10,0.3644527339467035,0.3071281011314747
11,0.3585816975184998,0.30206551117062164
12,0.36334944751381215,0.3154370947921522
13,0.4027049598663759,0.4021368734914099
53,0.17833129584352078,0.04008169517487874
