FID,building,sky,tree,road,grass,sidewalk,person,earth,plant,car,fence,signboard,streetlight,van,wall,ceiling,skyscraper,column,railing,ashcan,sculpture
0,0.0018390000000000001,0.44230699999999995,0.240364,0.145523,0.025276,0.004265,0.009796,6.1e-05,0.058616999999999995,0.00251,0.00043499999999999995,0.039810000000000005,0.01152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,6.9e-05,0.476166,0.250168,0.212654,0.003036,0.0,0.0,0.000526,0.018982,0.002449,0.018775999999999998,0.005852,3.1e-05,0.011292,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.729256,0.0,0.032829000000000004,0.10240899999999999,0.0,0.025848000000000003,0.0,0.0,0.0,0.035606,0.016525,0.006409000000000001,0.0,0.0,0.0037920000000000002,0.047325,0.0,0.0,0.0,0.0,0.0
11,0.567902,0.090797,0.135017,0.00972,0.0,0.00206,0.0,0.0,0.10246300000000001,0.021606,0.0,0.025185,0.0,0.0,0.0,0.039322,0.0,0.0,0.0,0.0,0.0
12,0.455017,0.023499000000000003,0.27561199999999997,0.09153700000000001,0.0,0.003296,0.0,0.0,0.000923,0.139732,0.00135,0.000557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.490433,0.291504,0.00032,0.093521,0.0008089999999999999,0.053711,0.0,0.0,0.034943,0.026802,0.004303,0.002991,0.0,0.0,0.000664,0.0,0.0,0.0,0.0,0.0,0.0
14,0.260696,0.177094,0.30983,0.065559,0.017128,0.032425,0.0,0.000198,0.011748999999999999,0.002914,0.0,0.021896000000000002,0.0,0.0,0.0,0.0,0.10051,0.0,0.0,0.0,0.0
2,0.27166,0.241783,0.23490100000000003,0.12926500000000002,0.036621,0.0034869999999999996,0.0,0.0,0.0060880000000000005,0.039803,0.028488,0.007904000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.257309,0.25421900000000003,0.225311,0.21190599999999998,0.003761,0.0061259999999999995,0.007659999999999999,0.0,0.001778,0.023788,0.0029980000000000002,0.005005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.023766,0.127129,0.5579149999999999,0.047264,0.012337,0.059379999999999995,0.0,0.0,0.001984,0.0,0.070328,4.6e-05,0.0,0.0,0.099854,0.0,0.0,0.0,0.0,0.0,0.0
5,0.098328,0.270615,0.054634,0.125221,0.0023420000000000003,0.010674,0.0,0.0,0.016212,0.0,0.0,0.05728099999999999,0.000244,0.0,0.009308,0.107178,0.0,0.229271,0.0,0.0,0.0
6,0.293633,0.347092,0.023796,0.028564,0.001068,0.11721,0.009521,0.0,0.062843,0.021629,0.005898,0.009696999999999999,0.0,0.0,0.009636,0.0,0.0,0.0,0.0026089999999999998,0.00351,0.0
7,0.48967700000000003,0.086029,0.082207,0.124222,0.080101,0.097778,0.00021400000000000002,0.0,0.0,0.023399,0.0,0.01223,0.0,0.0,0.002884,0.0,0.0,0.0,0.0,0.0,0.000145
8,0.529335,0.073448,0.167793,0.001663,0.001068,0.000542,0.0,0.0,0.098663,0.0,0.000267,0.020912,0.0,0.0,0.102875,0.0,0.0,0.0,0.0,0.0,0.0
9,0.426842,0.22403,0.124702,0.008011,0.0,0.032126999999999996,0.0,0.0,0.0,0.067169,0.06980900000000001,8e-06,0.0,0.0,0.008888,0.0,0.0,0.0,0.038414,0.0,0.0
